Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
9-Apr-13	sub2304	2304	1	0	36	2	1	4	5	1	1	1	0	0.25579	0	0.4	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	37	2	1	6	1	4	1	2	1	0.30488	1	0.4	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	38	2	1	3	3	5	0	1	0	0.44759	1	0.4	1	13	34	51	0
9-Apr-13	sub2304	2304	1	0	39	2	1	2	2	4	1	2	1	0.25692	1	0.7	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	40	2	1	4	5	1	1	1	0	0.48271	0	0.7	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	41	2	1	2	2	4	1	2	1	0.04598	1	0.6	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	42	2	1	3	3	5	1	1	1	0.07158	1	0.6	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	43	2	1	2	2	4	1	2	1	0.09811	1	0.6	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	44	2	1	1	6	4	1	1	1	0.12238	1	0.6	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	45	2	1	3	3	5	1	2	0	0.0257	0	0.6	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	46	2	1	5	4	1	1	1	1	0.49724	1	0.6	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	47	2	1	5	4	1	0	2	1	0.03114	0	0.6	0	15	47	38	0
9-Apr-13	sub2304	2304	1	0	48	2	1	4	5	1	1	1	0	0.03582	0	0.6	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	49	2	1	3	3	5	0	2	1	0.04582	0	0.6	0	13	44	39	0
9-Apr-13	sub2304	2304	1	0	50	2	1	4	5	1	0	1	1	0.1193	0	0.6	0	14	44	39	0
9-Apr-13	sub2304	2304	1	0	51	2	1	3	3	5	1	2	0	0.20348	0	0.5	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	52	2	1	5	4	1	0	1	0	0.44075	1	0.5	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	53	2	1	2	2	4	1	2	1	0.03591	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	54	2	1	3	3	5	1	2	0	0.00971	0	0.5	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	55	2	1	5	4	1	1	1	1	0.38185	1	0.5	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	56	2	1	1	6	4	1	1	1	0.06902	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	57	2	1	2	2	4	1	2	1	0.44361	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	58	2	1	6	1	4	0	1	1	0.27419	0	0.5	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	59	2	1	3	3	5	1	2	0	0.42232	0	0.5	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	60	2	1	2	2	4	1	1	0	0.29646	0	0.5	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	61	2	1	5	4	1	1	2	0	0.31267	0	0.5	0	15	45	46	0
9-Apr-13	sub2304	2304	1	0	62	2	1	1	6	4	1	1	1	0.23079	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	63	2	1	2	2	4	1	1	0	0.26843	0	0.5	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	64	2	1	4	5	1	1	2	1	0.34877	1	0.5	0	14	32	33	0
9-Apr-13	sub2304	2304	1	0	65	2	1	3	3	5	1	1	1	0.48636	1	0.5	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	66	2	1	2	2	4	1	2	1	0.08441	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	67	2	1	4	5	1	1	1	0	0.06999	0	0.5	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	68	2	1	3	3	5	0	2	1	0.44723	0	0.4	1	13	44	51	0
9-Apr-13	sub2304	2304	1	0	69	2	1	1	6	4	1	1	1	0.39082	1	0.6	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	70	2	1	3	3	5	1	2	0	0.40463	0	0.6	0	13	42	43	0
